# Fake data generated by fakedata.py
# Time	x1	x2	x3	x4	x5
28.8	-1.017	-0.237	0.134	-0.475	-0.069
28.9	-0.960	-0.097	0.283	-0.398	-0.021
29.0	-0.901	0.043	0.428	-0.322	0.026
29.1	-0.840	0.183	0.566	-0.247	0.071
29.2	-0.778	0.320	0.695	-0.176	0.114
29.3	-0.713	0.452	0.814	-0.107	0.153
29.4	-0.648	0.577	0.921	-0.042	0.190
29.5	-0.582	0.694	1.013	0.020	0.222
29.6	-0.515	0.800	1.091	0.077	0.249
29.7	-0.447	0.894	1.152	0.130	0.272
29.8	-0.380	0.975	1.195	0.179	0.290
29.9	-0.312	1.041	1.221	0.222	0.302
30.0	-0.244	1.093	1.228	0.261	0.309
30.1	-0.177	1.129	1.217	0.296	0.311
30.2	-0.110	1.149	1.188	0.326	0.307
30.3	-0.044	1.154	1.142	0.351	0.299
30.4	0.022	1.142	1.079	0.373	0.287
30.5	0.088	1.115	1.001	0.391	0.271
30.6	0.153	1.074	0.909	0.406	0.251
30.7	0.217	1.020	0.805	0.418	0.229
30.8	0.280	0.954	0.690	0.428	0.204
30.9	0.343	0.877	0.567	0.437	0.179
31.0	0.406	0.790	0.437	0.444	0.153
31.1	0.468	0.697	0.304	0.451	0.127
31.2	0.529	0.599	0.169	0.458	0.103
31.3	0.589	0.497	0.035	0.466	0.081
31.4	0.650	0.395	-0.096	0.475	0.061
31.5	0.709	0.293	-0.222	0.486	0.045
31.6	0.768	0.194	-0.339	0.499	0.034
31.7	0.826	0.101	-0.446	0.516	0.027
31.8	0.884	0.015	-0.540	0.535	0.026
31.9	0.941	-0.062	-0.621	0.558	0.031
32.0	0.997	-0.129	-0.685	0.586	0.042
32.1	1.052	-0.183	-0.733	0.617	0.060
32.2	1.105	-0.223	-0.761	0.653	0.085
32.3	1.158	-0.249	-0.771	0.693	0.117
32.4	1.209	-0.259	-0.761	0.738	0.155
32.5	1.259	-0.253	-0.730	0.787	0.201
32.6	1.307	-0.230	-0.680	0.839	0.252
32.7	1.353	-0.191	-0.610	0.896	0.309
32.8	1.397	-0.135	-0.521	0.956	0.372
32.9	1.438	-0.064	-0.414	1.019	0.439
33.0	1.477	0.023	-0.291	1.084	0.510
33.1	1.512	0.123	-0.152	1.151	0.584
33.2	1.545	0.236	-0.000	1.219	0.659
33.3	1.575	0.361	0.163	1.287	0.736
33.4	1.600	0.494	0.335	1.356	0.813
33.5	1.623	0.636	0.514	1.423	0.888
33.6	1.641	0.783	0.696	1.489	0.961
33.7	1.655	0.933	0.881	1.552	1.031
33.8	1.665	1.085	1.064	1.612	1.096
33.9	1.670	1.236	1.244	1.668	1.156
34.0	1.672	1.383	1.417	1.719	1.209
34.1	1.669	1.526	1.581	1.764	1.255
34.2	1.661	1.660	1.735	1.804	1.292
34.3	1.649	1.785	1.875	1.837	1.320
34.4	1.633	1.898	2.000	1.863	1.338
34.5	1.613	1.999	2.107	1.882	1.346
34.6	1.589	2.084	2.196	1.893	1.343
34.7	1.560	2.154	2.265	1.896	1.329
34.8	1.529	2.206	2.313	1.890	1.303
34.9	1.493	2.241	2.339	1.877	1.267
35.0	1.455	2.257	2.343	1.855	1.220
35.1	1.414	2.254	2.325	1.826	1.162
35.2	1.371	2.233	2.286	1.788	1.094
35.3	1.326	2.194	2.225	1.744	1.016
35.4	1.279	2.137	2.144	1.692	0.930
35.5	1.231	2.064	2.045	1.634	0.835
35.6	1.182	1.974	1.927	1.570	0.734
35.7	1.133	1.871	1.794	1.501	0.626
35.8	1.084	1.755	1.648	1.427	0.514
35.9	1.035	1.628	1.489	1.350	0.398
36.0	0.987	1.492	1.321	1.270	0.280
36.1	0.941	1.350	1.147	1.187	0.162
36.2	0.896	1.202	0.967	1.103	0.043
36.3	0.854	1.052	0.786	1.019	-0.074
36.4	0.813	0.902	0.606	0.936	-0.188
36.5	0.776	0.754	0.428	0.853	-0.297
36.6	0.741	0.610	0.257	0.773	-0.401
36.7	0.709	0.472	0.093	0.695	-0.498
36.8	0.681	0.342	-0.061	0.621	-0.588
36.9	0.656	0.221	-0.203	0.552	-0.668
37.0	0.634	0.113	-0.331	0.487	-0.739
37.1	0.617	0.017	-0.444	0.427	-0.800
37.2	0.602	-0.065	-0.540	0.373	-0.850
37.3	0.591	-0.131	-0.618	0.325	-0.888
37.4	0.584	-0.182	-0.678	0.283	-0.915
37.5	0.580	-0.217	-0.719	0.248	-0.930
37.6	0.579	-0.236	-0.741	0.220	-0.932
37.7	0.581	-0.238	-0.744	0.199	-0.923
37.8	0.586	-0.225	-0.729	0.184	-0.903
37.9	0.593	-0.198	-0.696	0.175	-0.871
38.0	0.602	-0.156	-0.647	0.173	-0.828
38.1	0.613	-0.101	-0.582	0.177	-0.776
38.2	0.625	-0.035	-0.502	0.186	-0.714
38.3	0.639	0.041	-0.411	0.200	-0.644
38.4	0.653	0.125	-0.309	0.220	-0.566
38.5	0.667	0.215	-0.198	0.243	-0.482
38.6	0.682	0.310	-0.080	0.270	-0.392
38.7	0.696	0.407	0.042	0.300	-0.299
38.8	0.709	0.504	0.166	0.332	-0.201
38.9	0.721	0.599	0.291	0.366	-0.102
39.0	0.732	0.690	0.415	0.401	-0.002
39.1	0.741	0.776	0.535	0.437	0.098
39.2	0.749	0.854	0.649	0.474	0.196
39.3	0.754	0.922	0.756	0.509	0.293
39.4	0.757	0.980	0.855	0.544	0.386
39.5	0.757	1.026	0.943	0.577	0.475
39.6	0.754	1.058	1.020	0.609	0.559
39.7	0.748	1.077	1.085	0.638	0.638
39.8	0.740	1.080	1.137	0.664	0.710
39.9	0.728	1.069	1.176	0.688	0.776
40.0	0.714	1.042	1.201	0.709	0.835
40.1	0.697	1.000	1.213	0.727	0.886
40.2	0.676	0.944	1.212	0.741	0.929
40.3	0.653	0.873	1.198	0.752	0.966
40.4	0.627	0.790	1.172	0.760	0.994
40.5	0.598	0.695	1.135	0.764	1.015
40.6	0.567	0.589	1.088	0.765	1.028
40.7	0.533	0.474	1.033	0.764	1.034
40.8	0.497	0.352	0.970	0.759	1.034
40.9	0.459	0.225	0.902	0.752	1.027
41.0	0.420	0.093	0.830	0.742	1.014
41.1	0.379	-0.039	0.755	0.730	0.996
41.2	0.336	-0.172	0.679	0.715	0.973
41.3	0.292	-0.302	0.604	0.699	0.945
41.4	0.247	-0.428	0.532	0.682	0.913
41.5	0.201	-0.548	0.463	0.662	0.878
41.6	0.154	-0.660	0.399	0.642	0.840
41.7	0.107	-0.763	0.341	0.621	0.799
41.8	0.060	-0.854	0.290	0.599	0.757
41.9	0.012	-0.934	0.247	0.576	0.712
42.0	-0.035	-1.000	0.213	0.552	0.666
42.1	-0.083	-1.052	0.187	0.527	0.619
42.2	-0.131	-1.090	0.171	0.502	0.572
42.3	-0.178	-1.113	0.165	0.477	0.523
42.4	-0.225	-1.121	0.167	0.451	0.474
42.5	-0.271	-1.114	0.177	0.424	0.425
42.6	-0.317	-1.092	0.196	0.396	0.375
42.7	-0.363	-1.057	0.221	0.367	0.324
42.8	-0.408	-1.010	0.252	0.337	0.273
42.9	-0.452	-0.951	0.288	0.306	0.221
43.0	-0.496	-0.882	0.327	0.274	0.168
43.1	-0.539	-0.804	0.368	0.240	0.114
43.2	-0.581	-0.719	0.410	0.204	0.060
43.3	-0.622	-0.629	0.450	0.167	0.003
43.4	-0.662	-0.536	0.488	0.128	-0.055
43.5	-0.701	-0.442	0.521	0.087	-0.114
43.6	-0.739	-0.348	0.548	0.045	-0.175
43.7	-0.776	-0.257	0.568	-0.000	-0.238
43.8	-0.811	-0.171	0.579	-0.047	-0.303
43.9	-0.845	-0.091	0.581	-0.096	-0.370
44.0	-0.877	-0.018	0.571	-0.146	-0.438
44.1	-0.907	0.044	0.550	-0.198	-0.508
44.2	-0.935	0.096	0.516	-0.251	-0.580
44.3	-0.961	0.135	0.470	-0.305	-0.652
44.4	-0.985	0.162	0.410	-0.360	-0.725
44.5	-1.005	0.174	0.338	-0.415	-0.799
44.6	-1.023	0.172	0.253	-0.470	-0.872
44.7	-1.038	0.156	0.157	-0.524	-0.944
44.8	-1.049	0.125	0.049	-0.577	-1.014
44.9	-1.057	0.080	-0.069	-0.628	-1.083
45.0	-1.060	0.021	-0.195	-0.677	-1.148
45.1	-1.060	-0.050	-0.328	-0.723	-1.210
45.2	-1.056	-0.133	-0.467	-0.765	-1.267
45.3	-1.047	-0.227	-0.609	-0.803	-1.319
45.4	-1.034	-0.329	-0.753	-0.836	-1.364
45.5	-1.015	-0.439	-0.896	-0.863	-1.402
45.6	-0.993	-0.554	-1.037	-0.885	-1.433
45.7	-0.965	-0.673	-1.172	-0.900	-1.455
45.8	-0.932	-0.793	-1.300	-0.907	-1.467
45.9	-0.895	-0.913	-1.419	-0.907	-1.470
46.0	-0.852	-1.029	-1.526	-0.900	-1.462
46.1	-0.805	-1.141	-1.619	-0.884	-1.444
46.2	-0.753	-1.247	-1.697	-0.859	-1.414
46.3	-0.697	-1.343	-1.758	-0.826	-1.372
46.4	-0.636	-1.429	-1.800	-0.784	-1.319
46.5	-0.572	-1.503	-1.823	-0.734	-1.254
46.6	-0.504	-1.564	-1.825	-0.675	-1.178
46.7	-0.433	-1.609	-1.806	-0.608	-1.091
46.8	-0.358	-1.638	-1.765	-0.534	-0.993
46.9	-0.282	-1.651	-1.702	-0.452	-0.885
47.0	-0.204	-1.646	-1.618	-0.363	-0.767
47.1	-0.124	-1.624	-1.513	-0.268	-0.642
47.2	-0.043	-1.584	-1.388	-0.168	-0.509
47.3	0.037	-1.528	-1.244	-0.064	-0.369
47.4	0.118	-1.454	-1.084	0.044	-0.225
47.5	0.197	-1.365	-0.908	0.155	-0.077
47.6	0.275	-1.261	-0.718	0.266	0.073
47.7	0.351	-1.145	-0.518	0.378	0.224
47.8	0.424	-1.016	-0.310	0.490	0.374
47.9	0.494	-0.878	-0.096	0.599	0.522
48.0	0.559	-0.732	0.122	0.705	0.666
48.1	0.621	-0.580	0.339	0.807	0.804
48.2	0.677	-0.424	0.554	0.903	0.935
48.3	0.728	-0.267	0.763	0.993	1.058
48.4	0.773	-0.111	0.963	1.075	1.170
48.5	0.811	0.041	1.152	1.149	1.271
48.6	0.843	0.188	1.326	1.212	1.359
48.7	0.868	0.328	1.485	1.266	1.434
48.8	0.886	0.458	1.624	1.308	1.494
48.9	0.897	0.576	1.742	1.339	1.538
49.0	0.900	0.681	1.838	1.357	1.565
49.1	0.895	0.771	1.909	1.363	1.576
49.2	0.884	0.845	1.955	1.355	1.570
49.3	0.865	0.901	1.974	1.335	1.546
49.4	0.839	0.940	1.967	1.301	1.505
49.5	0.805	0.960	1.933	1.254	1.447
49.6	0.766	0.961	1.871	1.195	1.373
49.7	0.720	0.944	1.784	1.123	1.282
49.8	0.668	0.908	1.671	1.039	1.177
49.9	0.610	0.854	1.535	0.945	1.057
50.0	0.548	0.784	1.376	0.839	0.924
50.1	0.481	0.699	1.196	0.724	0.779
50.2	0.410	0.599	0.998	0.601	0.624
50.3	0.336	0.487	0.784	0.470	0.461
50.4	0.259	0.364	0.556	0.332	0.290
50.5	0.180	0.232	0.318	0.190	0.113
50.6	0.100	0.094	0.072	0.043	-0.067
50.7	0.018	-0.049	-0.179	-0.107	-0.250
50.8	-0.063	-0.193	-0.432	-0.259	-0.432
50.9	-0.145	-0.338	-0.683	-0.411	-0.613
51.0	-0.225	-0.480	-0.930	-0.562	-0.791
51.1	-0.304	-0.618	-1.170	-0.711	-0.964
51.2	-0.381	-0.749	-1.400	-0.856	-1.129
51.3	-0.455	-0.871	-1.618	-0.998	-1.287
51.4	-0.526	-0.982	-1.821	-1.134	-1.435
51.5	-0.594	-1.082	-2.007	-1.263	-1.572
51.6	-0.658	-1.168	-2.174	-1.385	-1.697
51.7	-0.718	-1.239	-2.320	-1.499	-1.808
51.8	-0.773	-1.294	-2.444	-1.604	-1.905
51.9	-0.824	-1.332	-2.546	-1.699	-1.988
52.0	-0.870	-1.354	-2.624	-1.785	-2.055
52.1	-0.910	-1.359	-2.677	-1.860	-2.106
52.2	-0.946	-1.346	-2.707	-1.925	-2.141
52.3	-0.976	-1.318	-2.713	-1.978	-2.160
52.4	-1.002	-1.273	-2.696	-2.021	-2.163
52.5	-1.022	-1.214	-2.656	-2.053	-2.150
52.6	-1.037	-1.140	-2.596	-2.074	-2.123
52.7	-1.048	-1.055	-2.516	-2.085	-2.080
52.8	-1.054	-0.959	-2.418	-2.086	-2.024
52.9	-1.055	-0.854	-2.304	-2.077	-1.955
